name,module,stable_url,http_status,resolved_url,latest_url,latest_http_status
index,collections,https://arturo-lang.io/documentation/library/collections/index,200,https://arturo-lang.io/documentation/library/collections/index,https://arturo-lang.io/latest/documentation/library/collections/index,200
insert,collections,https://arturo-lang.io/documentation/library/collections/insert,200,https://arturo-lang.io/documentation/library/collections/insert,https://arturo-lang.io/latest/documentation/library/collections/insert,200
key?,collections,https://arturo-lang.io/documentation/library/collections/key-,200,https://arturo-lang.io/documentation/library/collections/key-,https://arturo-lang.io/latest/documentation/library/collections/key-,200
keys,collections,https://arturo-lang.io/documentation/library/collections/keys,200,https://arturo-lang.io/documentation/library/collections/keys,https://arturo-lang.io/latest/documentation/library/collections/keys,200
last,collections,https://arturo-lang.io/documentation/library/collections/last,200,https://arturo-lang.io/documentation/library/collections/last,https://arturo-lang.io/latest/documentation/library/collections/last,200
max,collections,https://arturo-lang.io/documentation/library/collections/max,200,https://arturo-lang.io/documentation/library/collections/max,https://arturo-lang.io/latest/documentation/library/collections/max,200
min,collections,https://arturo-lang.io/documentation/library/collections/min,200,https://arturo-lang.io/documentation/library/collections/min,https://arturo-lang.io/latest/documentation/library/collections/min,200
one?,collections,https://arturo-lang.io/documentation/library/collections/one-,200,https://arturo-lang.io/documentation/library/collections/one-,https://arturo-lang.io/latest/documentation/library/collections/one-,200
permutate,collections,https://arturo-lang.io/documentation/library/collections/permutate,200,https://arturo-lang.io/documentation/library/collections/permutate,https://arturo-lang.io/latest/documentation/library/collections/permutate,200
pop,collections,https://arturo-lang.io/documentation/library/collections/pop,200,https://arturo-lang.io/documentation/library/collections/pop,https://arturo-lang.io/latest/documentation/library/collections/pop,200
prepend,collections,https://arturo-lang.io/documentation/library/collections/prepend,200,https://arturo-lang.io/documentation/library/collections/prepend,https://arturo-lang.io/latest/documentation/library/collections/prepend,200
range,collections,https://arturo-lang.io/documentation/library/collections/range,200,https://arturo-lang.io/documentation/library/collections/range,https://arturo-lang.io/latest/documentation/library/collections/range,200
remove,collections,https://arturo-lang.io/documentation/library/collections/remove,200,https://arturo-lang.io/documentation/library/collections/remove,https://arturo-lang.io/latest/documentation/library/collections/remove,200
repeat,collections,https://arturo-lang.io/documentation/library/collections/repeat,200,https://arturo-lang.io/documentation/library/collections/repeat,https://arturo-lang.io/latest/documentation/library/collections/repeat,200
reverse,collections,https://arturo-lang.io/documentation/library/collections/reverse,200,https://arturo-lang.io/documentation/library/collections/reverse,https://arturo-lang.io/latest/documentation/library/collections/reverse,200
